CNPJ;Nome;Tipo de Participante;Código CVM;Data;Status
31.694.680/0001-14;A C M AGRICOLA SA;CIAS INCENTIVADAS REGISTRADAS;505480;19/11/2008;Cancelado
08.690.448/0001-96;A G HOTEIS E TURISMO SA;CIAS INCENTIVADAS REGISTRADAS;502316;24/08/2007;Cancelado
92.659.614/0001-06;A J RENNER SA IND E PARTIP;CIAS ABERTAS;35;17/06/1998;Cancelado
04.895.165/0001-20;A M FIDALGO SA MAT DE CONSTR;CIAS INCENTIVADAS REGISTRADAS;504076;28/09/2008;Cancelado
06.932.909/0001-64;A O GASPAR INDS SA;CIAS INCENTIVADAS REGISTRADAS;503592;14/02/2012;Cancelado
02.288.752/0001-25;A.P. PARTICIPAÇOES SA;CIAS ABERTAS;16802;23/12/2004;Cancelado
21.649.280/0001-33;ABC DADOS E INFORMATICA SA;CIAS ABERTAS;13307;05/03/1993;Cancelado
02.258.274/0001-00;ABC SUPERMERCADOS SA;CIAS ABERTAS;16934;17/12/2001;Cancelado
42.275.727/0001-21;ABC XTAL MICROELETRONICA SA;CIAS ABERTAS;13005;11/09/1997;Cancelado
34.033.779/0001-63;ABN AMRO ARRENDAMENTO MERCANTIL SA;CIAS ABERTAS;15270;30/09/2009;Cancelado
44.597.052/0001-62;ABRIL SA;CIAS ABERTAS;14370;21/12/1999;Cancelado
07.794.351/0001-60;ABYARA PLANEJAMENTO IMOBILIÁRIO S/A;CIAS ABERTAS;20206;28/05/2010;Cancelado
10.416.907/0001-90;ACACIA EMPREEND HOTELEIROS SA;CIAS INCENTIVADAS REGISTRADAS;501832;14/02/2012;Cancelado
09.557.372/0001-98;ACARY HOTELARIA S/A;CIAS INCENTIVADAS REGISTRADAS;503908;14/02/2012;Cancelado
07.636.657/0001-99;ACO VERDE DO BRASIL S.A;CIAS ABERTAS;26425;29/11/2021;Concedido
07.636.657/0001-99;ACO VERDE DO BRASIL S.A;CIAS INCENTIVADAS REGISTRADAS;515540;31/01/2008;Cancelado
12.293.130/0001-49;ACOFORTE MOVEIS E EQUIP SA;CIAS INCENTIVADAS REGISTRADAS;513911;11/05/2004;Cancelado
18.451.005/0001-04;ACOPALMA CIA INDL ACOS V PALMA;CIAS ABERTAS;60;07/08/2007;Cancelado
14.038.517/0001-84;ACORRICO SA IND E COM;CIAS INCENTIVADAS REGISTRADAS;505315;28/09/2008;Cancelado
61.150.660/0001-43;ACOS ANHANGUERA SA;CIAS ABERTAS;78;09/02/1994;Cancelado
60.890.688/0001-54;ACOS DO BRASIL SA IND E COM;CIAS ABERTAS;86;14/12/1989;Cancelado
92.767.409/0001-56;AÇOS FINOS PIRATINI S/A;CIAS ABERTAS;14508;05/09/1995;Cancelado
60.852.316/0001-33;ACOS IPANEMA (VILLARES) SA;CIAS ABERTAS;10715;11/01/1993;Cancelado
60.664.810/0001-74;AÇOS VILLARES SA;CIAS ABERTAS;108;30/12/2010;Cancelado
42.581.520/0001-85;ACQUA SA AQUICULTURA;CIAS INCENTIVADAS REGISTRADAS;518425;04/11/2005;Cancelado
39.303.847/0001-80;ACQUAMANIA MULTIPLO LAZER S/A;CIAS INCENTIVADAS REGISTRADAS;515230;14/02/2012;Cancelado
13.546.353/0001-33;ACRINOR ACRILONITRILA DO NE SA;CIAS ABERTAS;116;21/02/2000;Cancelado
07.825.881/0001-29;ACRUX SECURITIZADORA S/A;CIAS ABERTAS;20230;04/02/2016;Cancelado
02.808.627/0001-07;ACTORI PARTICIPAÇÕES SA;CIAS ABERTAS;18040;24/04/2002;Cancelado
47.080.619/0001-17;AÇUCAR GUARANI S/A;CIAS ABERTAS;20940;13/08/2010;Cancelado
09.811.654/0001-70;ACUMULADORES MOURA SA;CIAS INCENTIVADAS REGISTRADAS;502944;11/09/2006;Cancelado
28.392.009/0001-04;ADCART INDUSTRIAL S. A.;CIAS INCENTIVADAS REGISTRADAS;515574;28/09/2008;Cancelado
